,Instrument,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,"Gross Margin, Percent","Gross Margin, Percent","Gross Margin, Percent","Gross Margin, Percent","Operating Margin, Percent","Operating Margin, Percent","Operating Margin, Percent","Operating Margin, Percent","Total Debt to Total Equity, Percent","Total Debt to Total Equity, Percent","Total Debt to Total Equity, Percent","Total Debt to Total Equity, Percent","CO2 Equivalent Emissions Direct, Scope 1, 2022","CO2 Equivalent Emissions Direct, Scope 1, 2021","CO2 Equivalent Emissions Direct, Scope 1, 2020","CO2 Equivalent Emissions Direct, Scope 1, 2019","CO2 Equivalent Emissions Indirect, Scope 2, 2022","CO2 Equivalent Emissions Indirect, Scope 2, 2021","CO2 Equivalent Emissions Indirect, Scope 2, 2020","CO2 Equivalent Emissions Indirect, Scope 2, 2019","CO2 Equivalent Emissions Indirect, Scope 3, 2022","CO2 Equivalent Emissions Indirect, Scope 3, 2021","CO2 Equivalent Emissions Indirect, Scope 3, 2020","CO2 Equivalent Emissions Indirect, Scope 3, 2019","CO2 Equivalent Emissions Total, 2022","CO2 Equivalent Emissions Total, 2021","CO2 Equivalent Emissions Total, 2020","CO2 Equivalent Emissions Total, 2019","CO2 Estimation Method, 2022","CO2 Estimation Method, 2021","CO2 Estimation Method, 2020","CO2 Estimation Method, 2019",Employee Satisfaction,Employees With Disabilities,Employees Health & Safety Controversies,Full-Time Employees (Pvt),Employee Satisfaction,Employees With Disabilities,Employee Health & Safety Training Hours,Employee Accidents,Employee Lost Working Days,Employees Health & Safety Controversies,Employee Resource Groups,Employee Engagement Voluntary Work,Policy Supply Chain Health & Safety,Environmental Supply Chain Monitoring,Environmental Supply Chain Management,Policy Environmental Supply Chain,Supply Chain Health & Safety Training,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Resource Reduction Targets,Targets Water Efficiency,Targets Energy Efficiency,Renewable Energy Use Ratio,Energy Use Total,Energy Purchased Direct,Renewable Energy Purchased,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,SOx Emissions To Revenues USD in million,Injuries To Million Hours,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Trade Union Representation,Recent Diversity Opportunity Controversies,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage,Executive Compensation Controversies,Sustainability Compensation Incentives,Executive Individual Compensation
493,TOL.N,Toll Brothers Inc,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,26.35535,24.19702,22.10262,20.03066,17.53326,16.05616,11.21303,7.7746,42.08329189,55.43390307,67.29025213,81.19165538,,,,,,,,,,,,,,,,,Median,Median,Median,Median,87,,,4800,87,,,119,,,1,1,0,,0,1,0,,,0,0,0,,,,,,,,,,11.4,1,0,2,,,,,,,15.7,,,,,,30,,,,,,,0,0,0
494,TMP.A,Tompkins Financial Corp,Financials,Banking & Investment Services,Banking Services,,,,,,,,,9.13636526,9.179977705,11.03832735,12.299854,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,978,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,0,0,0
495,TR.N,Tootsie Roll Industries Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,33.8779,34.90704,36.16523,37.37643,16.12225,11.76171,12.36438,13.13077,1.091843288,1.097339287,1.091537441,1.085340079,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,2300,,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0
496,GL.N,Globe Life Inc,Financials,Insurance,Insurance,,,,,,,,,52.5893026,23.44305773,21.92205942,22.58920553,1237,1166,,,6427,6381,5309,,44680,44127,427,,7664,7547,5309,,Reported,Reported,Reported,Median,,,,3543,,,,,,,1,1,1,,0,0,0,,9.112559557,1,1,1,,,,,20.48994134,106853.2,,,,,1,0,,1,22,13,54,2,2,22,,,,,,24.99,8.34,8.33,8.33,75,75,,0,0,0
497,TTC.N,Toro Co,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",34.64816,33.32688,33.80385,35.21281,9.45928,12.75097,13.08925,12.61856,68.27056721,73.29786691,60.048891,70.96368229,38379,36305,37332,35957,71492,74797,80721,81329,,,,,109871,111102,118053,117286,Reported,Reported,Reported,Reported,,,,10706,,,,201,63.28,,1,1,1,,0,1,0,113.7073211,60.98779367,0,0,0,,1249200,1249200,0,148.409404,670018,,,,8.9,1,1,13,,2,11,79,4,4,13,3,,7,87,3,27.27,9.09,9.09,9.09,72.73,72.73,,0,0,0
498,TRNS.OQ,Transcat Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,29.64622,28.51253,26.60628,24.53971,7.04691,6.9004,6.38821,6.26809,49.29940781,56.22447085,26.05423693,45.23081968,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,1030,,,,,,,0,0,1,1,1,1,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,22.3,,22.3,,77.7,77.7,,0,0,0
499,TY.N,Tri-Continental Corp,Financials,Collective Investments,Collective Investments,89.16002,87.25367,89.33986,89.04734,88.18242,86.07994,88.05655,87.55684,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,TRS.OQ,TriMas Corp,Basic Materials,Applied Resources,Containers & Packaging,23.88468,25.3398,23.64767,26.79917,11.20804,9.86688,-11.46668,12.60763,60.5572005,62.42688436,59.27086008,42.25067385,19647,17414,17472,,62449,65609,67822,,,,,,82096,83023,85293,,Reported,Reported,Reported,Median,,,,3500,,,,,,,0,1,1,,1,1,1,,,0,0,0,,947520,947520,,293.383343,259301,,,0.000339432,,1,0,,,10,33,48,3,3,,,,,,,11.12,,11.12,,88.88,88.88,,0,0,0
501,TRN.N,Trinity Industries Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",18.59607,23.38391,24.13557,21.27716,16.81586,16.20712,-17.78019,13.85312,553.8917424,502.0974947,288.5323211,240.4758386,53753,41366,65355,84297,52196,55958,79557,92381,,,,,105949,97324,144912,176678,Reported,Reported,Reported,Reported,,,,9215,,,,144,,,1,1,1,1,0,1,0,,,1,0,1,,1298450,1298450,,115.9206999,229210,,,,7.8,1,0,,,,,53,47,47,,,,,,,44,,,,,,,0,0,0
502,TRST.OQ,TrustCo Bank Corp NY,Financials,Banking & Investment Services,Banking Services,,,,,,,,,20.45044309,40.70447559,37.79826493,27.61989161,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,8.68,,818,,8.68,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,11,15.04,57.58,5.01,5.01,,,,,,,,,10,10,80,80,,0,1,0
503,TRMK.OQ,Trustmark Corp,Financials,Banking & Investment Services,Banking Services,,,,,,,,,47.59929182,29.54113309,29.68249693,24.23439004,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,2738,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,18.2,,9.1,9.1,81.8,81.8,,0,0,0
504,COHR.N,Coherent Corp,Technology,Technology Equipment,Electronic Equipment & Parts,31.36147,38.15624,39.15826,34.43385,-1.3311,12.96686,12.25056,0.85632,59.88774882,52.96118567,33.81702122,109.7258141,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,26622,,,,39,,,0,1,1,,0,1,0,,,0,0,0,,,,,,,,,,0.006,1,0,,,,,,,,,,,,,,38,23,15,,62,62,,0,1,0
505,TYL.N,Tyler Technologies Inc,Technology,Software & IT Services,Software & IT Services,42.3663,44.56759,48.58332,47.57798,11.57975,11.35065,15.48596,14.39278,37.62357638,57.71331892,0,0,1154,1184,1735,1428,8147,6520,5727,9217,95480,8354,6739,24740,9301,7704,7462,10645,Reported,Reported,Reported,Reported,,,,7200,,,,,,,1,1,0,,1,1,0,,,0,0,0,,107219,107219,,45.46227435,84114.3,,,,,1,0,0,,5,4,71,13,13,7,5,,2,93,,12.5,,12.5,,87.5,87.5,,0,0,1
506,TSN.N,Tyson Foods Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,5.60693,12.43197,16.24902,13.66447,-0.70536,8.37431,9.34345,7.23399,52.42375779,42.23429093,52.74502059,74.33460076,3830000,3890000,4400000,3510000,1960000,2200000,2280000,2760000,,,,,5790000,6090000,6680000,6270000,Reported,Reported,Reported,Reported,,,,139000,,,,3740,959,,1,1,1,,1,1,1,1687.330644,3188.614531,1,1,1,0.007559579,64200400,64200400,485328,2578.630789,121322000,121322000,,,13.65,1,0,27.737,,9.82,12.09,70.26,4.51,4.51,,,,,,,23,,,,,,,0,0,0
507,X.N,United States Steel Corp,Basic Materials,Mineral Resources,Metals & Mining,20.66461,28.66091,2.56647,7.23506,15.00119,22.95438,-11.03583,-1.77785,38.92151106,43.18534961,129.0808241,88.97849462,28940000,24720000,30280000,32460000,2630000,1950000,3350000,3480000,,,,,31570000,26670000,33630000,35940000,Reported,Reported,Reported,Reported,,,,22740,,,,240,,,1,1,1,,1,1,1,36028.29663,112758.442,0,0,0,0.002738777,375350000,375350000,1028000,57940.32059,1174740000,1174740000,874136000,0.583822441,4.89,1,0,80,,,,79.8,20.2,20.2,,,,,,,,,,,,,,0,1,0
508,WM.N,Waste Management Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,37.58757,38.03469,38.61874,38.5571,17.08295,15.30868,15.59995,16.62245,218.7764637,188.1667602,185.3193773,190.9734012,16975300,16083200,15624632,16272144,257188,236151,238341,246091,3357740,3502990,3211665,9047233,17232500,16319400,15862973,16518235,Reported,Reported,Reported,Reported,,20,,49500,,20,,1450,,,0,1,1,1,1,1,0,425.8555224,40.13265404,1,1,0,0.198321172,35441400,35441400,7028780,186.269589,3340000,840000,,,15,1,1,17.526,,18.6,20.9,50.3,8.7,8.7,21.5,1.9,7.6,11.5,72.1,6.9,11,,,,89,89,11,0,0,0
509,UNM.N,Unum Group,Financials,Insurance,Insurance,,,,,,,,,39.26502576,30.1513612,30.77637752,33.38283994,6273,8022,5336,6686,8576,9370,16932,20342,14810,9119,27756,33490,14849,17392,22268,27028,Reported,Reported,Reported,Reported,,,,10665,,,,,,,1,1,0,,1,1,0,0.266252958,11.44961068,0,0,0,,3086.496,3086.496,,11.0689543,132727.831,132727.831,,,,1,0,,,,,,,,,,,,,,27,,,,,,,0,1,0
510,UNF.N,UniFirst Corp,Industrials,Industrial & Commercial Services,Professional & Commercial Services,33.66481,34.70429,37.50602,35.43075,6.00538,6.82475,10.69014,9.57393,0,0,0,0,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,16000,,,25000,,,,0,1,0,,0,0,0,,,1,1,1,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0
511,UBSI.OQ,United Bankshares Inc,Financials,Banking & Investment Services,Banking Services,,,,,,,,,9.910537482,8.774563284,9.822576217,10.72639456,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,2765,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,13.33,,13.33,,86.67,86.67,,0,1,0
512,UDR.N,UDR Inc,Real Estate,Real Estate,Residential & Commercial REITs,66.22982,65.309,66.96394,69.09754,16.52935,17.48046,16.10688,19.18576,133.8991993,157.2171099,153.8726115,140.1657029,15997,16416,14564,15656,34458,32508,31198,34937,246484,,,,50455,48924,45762,50593,Reported,Reported,Reported,Reported,87,,,1317,87,,,40,18,,0,1,0,,0,0,0,,,1,0,1,0.161083381,713618,114952,114952,6463.440513,9807560,9721060,,,15,1,1,8,,12,26,55,5,5,39,,,,,,10,,10,,90,90,,0,0,0
513,UMBF.OQ,UMB Financial Corp,Financials,Banking & Investment Services,Banking Services,,,,,,,,,97.61481883,111.5900114,85.68566644,76.50273937,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,3770,,,,,,,1,1,0,,0,1,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,8.33,,8.33,,91.67,91.67,,0,0,0
514,UMH.N,UMH Properties Inc,Real Estate,Real Estate,Residential & Commercial REITs,52.38334,52.64583,52.57474,49.07873,14.73776,18.2331,17.30528,13.64954,138.747896,67.28164497,111.2947582,83.71066316,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,460,,,,17,,,0,0,1,,0,1,0,,,1,1,1,,,,,,,,,,19.318,1,0,,,3,5,90,1,1,,,,,,,16.66,8.33,8.33,,83.34,83.34,,0,0,1
515,USM.N,United States Cellular Corp,Technology,Telecommunications Services,Telecommunications Services,52.72248,53.71179,55.58583,55.64396,1.65507,4.12421,4.28536,2.78468,70.26789635,60.06157906,56.47245523,35.97807958,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,4900,,,,,,,1,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,0
516,RTX.N,RTX Corp,Industrials,Industrial Goods,Aerospace & Defense,20.37749,19.45238,15.77748,23.70725,8.07168,6.69224,-3.35413,10.83596,43.9393105,43.08999836,44.09877638,103.5380859,510400,536565,,,941700,1002040,,,24668000,11183300,,,1452100,1538610,2080000,1900000,Reported,Reported,Reported,Reported,,,,182000,,,,634,,,1,1,1,,1,1,1,108.8859932,35.11224055,1,1,0,0.020286584,17631800,17631800,357689,88.30356588,5685690,,,,1.8,1,1,17.24,,7.9,10.4,69.1,2.8,2.8,,,,,,,,,,,,,,0,1,0
517,KMPR.N,Kemper Corp,Financials,Insurance,Insurance,,,,,,,,,51.93215008,27.9936123,25.70013586,19.59570022,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,9500,,,,,,,0,1,0,,1,1,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0
518,UVV.N,Universal Corp,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,18.26277,19.95626,20.11267,19.25498,7.04609,7.62098,7.45252,6.61615,58.14758984,52.30611774,47.3851812,35.83937946,101725,114537,115381,,50082,48349,75184,,,,,,151807,162886,190565,219560,Reported,Reported,Reported,Reported,,,,28000,,,,132,,,0,1,1,1,1,1,1,1134.653405,783.0378873,0,0,0,0.212137332,2463368.4,2463368.4,522572.4,808.1384294,1700000,1700000,30000,,2.6,1,0,56,,,,,,,,,,,,,,,,,,,,0,1,0
519,SXT.N,Sensient Technologies Corp,Basic Materials,Chemicals,Chemicals,34.03603,32.94638,32.02798,31.36007,13.69142,12.31851,11.46065,9.15465,65.09656882,54.5110158,56.43055603,70.22671562,150000,150000,,,61000,70000,,,,,,,211000,220000,,,Reported,Reported,Median,Median,,,,4094,,,,,,,0,1,1,1,1,1,0,614.8366599,763.2455089,1,1,1,0.04,2900000,2899810,116000,2608.204251,3600000,,,,2.471,1,0,,,,,,,,32.6,,,,,,10,,10,,90,90,,0,0,0
520,UHT.N,Universal Health Realty Income Trust,Real Estate,Real Estate,Residential & Commercial REITs,69.4411,72.76042,71.43443,72.66954,23.28497,129.66623,24.92886,24.57655,149.6392421,139.7060261,185.5885035,150.6014285,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,0,,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,29,,,,,,,0,1,0
521,UHS.N,Universal Health Services Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,,,,,7.48957,10.64769,11.75159,10.68624,81.20789476,68.8098391,61.04419622,72.38464746,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,71200,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0.88,,,,,,,,,,,,,,,,,,,,0,0,0
522,STEW.N,SRH Total Return Fund Inc,Financials,Collective Investments,Collective Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,VFC.N,VF Corp,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,52.54245,54.52824,53.16636,55.4646,2.01501,13.68954,6.54982,8.01435,228.3567634,153.5475611,187.2030755,114.3198443,12564,18405,72825,,52843,83896,160423,,3586000,4663950,50327,,65407,102301,233248,,Reported,Reported,Reported,CO2,,,,19800,,,,,,,1,1,0,1,1,1,0,27.11277694,,0,0,0,0.186407215,999339,985546,186284,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0
524,VSEC.OQ,VSE Corp,Industrials,Industrial Goods,Aerospace & Defense,8.20553,5.81033,11.39363,11.12982,5.80472,2.86607,2.10426,8.00622,63.68930829,68.18751453,70.4689925,74.3625052,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,2000,,,,42,,,1,1,1,,1,1,1,,,0,0,0,,,,,,,,,,9.9,1,0,,,,,,,,,,,,,,10,0,10,0,90,90,,0,0,0
525,VLY.OQ,Valley National Bancorp,Financials,Banking & Investment Services,Banking Services,,,,,,,,,14.46890562,16.67069232,19.79179551,19.4608671,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,3826,,,,,,,1,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,15,7.5,7.5,,85,85,,0,0,0
526,VMI.N,Valmont Industries Inc,Industrials,Industrial & Commercial Services,Construction & Engineering,25.91851,25.24261,26.43938,24.67246,9.2049,8.19017,7.80398,8.23661,55.53826525,69.61077898,64.82959439,68.81515776,126033,127491,122912,127622,67343,69560,79015,80673,,,,,193376,197051,201927,208295,Reported,Reported,Reported,Reported,84.7,,,11364,84.7,,,243,,,1,1,1,1,1,1,0,,,1,1,1,,3025480,3015790,,159.9907945,695200,695200,,,10.7,1,1,,,,,,,,12.9,3.5,2.7,5.7,87.1,1,,,,,,,,0,1,0
527,VRTX.OQ,Vertex Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,87.90352,88.06242,88.13507,86.84166,48.23138,36.7303,46.027,28.76814,3.389708683,5.511881188,6.693776718,9.348335087,6128,5642,5834,5664,7159,7807,7992,10887,,206332,,,13287,13449,13826,16551,Reported,Reported,Reported,Reported,,,,4800,,,,8,,,1,1,1,,1,1,1,,1.817684455,0,0,0,,,,,,102500,,,,1.05,1,0,0,,,,,,,19,,,,,,40,30,,,60,60,10,0,0,0
528,VICR.OQ,Vicor Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",45.24392,49.5876,44.32152,46.75922,6.81594,15.47233,5.85617,5.25559,0,0,0,0,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,1088,,,,,,,0,1,0,,0,1,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,8.3,8.3,,,91.7,91.7,,0,0,0
529,VSH.N,Vishay Intertechnology Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,30.46977,27.4006,23.44084,25.15455,17.59838,14.43616,8.05936,9.759,24.48072108,26.13133856,25.06358587,33.62107102,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,23900,,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,0
530,VNO.N,Vornado Realty Trust,Real Estate,Real Estate,Residential & Commercial REITs,51.44925,49.82948,48.3579,52.30524,14.76371,13.92774,-1.49147,149.14761,143.6546873,138.1569753,113.2522847,110.0204396,31311,29864,29190,28577,166129,131405,133997,177977,43871,39633,42997,49760,197441,161269,163187,206554,Reported,Reported,Reported,Reported,,,,3146,,,,,,,0,1,1,,0,1,0,,,1,1,1,,3019080,3019080,,1232.511111,2218520,2218520,,,,1,0,84,,,,,,,,,,,,,30,,,,70,70,30,0,1,0
531,WDFC.OQ,WD-40 Co,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,51.04094,49.1047,54.03281,54.59439,16.70045,16.83243,18.20106,18.9034,57.35281523,77.56807193,57.75967901,71.04726379,,,,,,,,,,,,,,,,,Median,Median,Median,Median,93.3,,,613,93.3,,,,,,0,1,1,,1,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,2,12,67,6,6,,,,,,,16,,8,8,84,84,,0,0,0
532,WMT.N,Walmart Inc,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,24.14046,25.09873,24.82979,24.68853,3.34179,3.96889,2.53026,3.92546,58.18262423,51.44679471,60.39048502,72.94727397,7312245,7236499,6484616,6101641,9475167,11031800,12192849,12022083,35358,37439,83474,76296,16787412,18268299,18677465,18123724,Reported,Reported,Reported,Reported,,,,2100000,,,,,,,1,1,1,1,1,1,1,314.14689,,0,0,0,,138000000,138000000,,,,,,,,1,0,,5,,,,,,39,,,,,,18,,,,,,,0,0,0
533,WAFD.OQ,WaFd Inc,Financials,Banking & Investment Services,Banking Services,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,2120,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,23,,,,,,40,,,,,,,0,0,0
534,GHC.N,Graham Holdings Co,Academic & Educational Services,Academic & Educational Services,"Schools, Colleges & Universities",32.27869,33.63031,33.81703,30.99807,2.69783,2.54754,10.78044,5.89939,20.30627786,15.6074337,13.88010327,15.47517368,,,,,,,,,,,,,,,,,Median,Median,Median,CO2,,,,19527,,,,,,,1,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,12,13,66,3,3,,,,,,,,,,,,,,0,0,0
535,ELME.N,Elme Communities,Real Estate,Real Estate,Residential & Commercial REITs,61.10565,60.44067,60.72419,60.72148,-3.17127,-10.23937,-1.39372,27.99522,43.71699613,37.74020224,74.75618703,77.90435254,2058,28644,5266,,5581,4336,27483,,,,,,7639,32980,32749,,Reported,Reported,Reported,Median,,,,102,,,,,,,0,1,0,,0,1,0,,,1,0,1,,,,,4377.610087,916584,916584,,,,1,0,0,,19.18,8.22,63.01,5.48,5.48,,,,,,,87,,87,,13,13,,0,1,0
536,WASH.OQ,Washington Trust Bancorp Inc,Financials,Banking & Investment Services,Banking Services,,,,,,,,,4.999459959,4.015700911,4.245827834,4.504738903,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,651,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,2,3.3,89.4,2,2,9.1,,,,,,15.4,,,,,,,0,0,0
537,WSO.N,Watsco Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",27.91027,26.55245,24.19067,24.253,11.43166,10.0081,7.93353,7.6909,3.772157755,6.051960782,0.429346503,11.07203641,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,7200,,,1300,108,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,7.9,1,0,0,,12,18,67,2,2,,,,,,,24,,6,18,76,76,,0,0,0
538,WTS.N,Watts Water Technologies Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",44.16772,42.39996,41.45565,42.33052,15.91311,13.24342,12.00451,12.3149,11.70229125,12.38493011,18.95681436,32.03476483,11330,11845,11346.31,10892.27,16282,17483,16884,22576,3153,1049,1070,5250,27612,29328,28230.31,33468.27,Reported,Reported,Reported,Reported,,,,4600,,,,,,,1,1,1,1,1,1,1,,,1,1,0,,438742.8,438742.8,,53.04402728,105000.652,105000.652,,,5.6,1,0,37,,9.83,16.29,63.22,6.03,6.03,26.76,6.76,6.47,11.18,73.24,2.35,11.111,,11.111,,88.889,88.889,,0,0,0
539,WBS.N,Webster Financial Corp,Financials,Banking & Investment Services,Banking Services,,,,,,,,,27.61800683,36.00087252,48.32145921,49.2801853,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,4065,,,,,,,1,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,1,0,,,,,,,22.9,,,,,,,,,,,,,0,0,0
540,WMK.N,Weis Markets Inc,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,25.16883,26.41091,26.75762,26.47798,3.34442,3.47293,3.96776,2.38871,0,0,0,0,112584,117191,120784,111064,132453,131294,142477,155124,,,,,245037,248485,263261,266188,Reported,Reported,Reported,Reported,,,,23000,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0
541,WSBC.OQ,WesBanco Inc,Financials,Banking & Investment Services,Banking Services,,,,,,,,,17.33133827,10.36894866,15.9406211,18.80670229,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,2426,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,11.77,,11.77,,88.23,88.23,,0,0,0
542,WST.N,West Pharmaceutical Services Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,39.3571,41.59133,35.76319,32.92027,23.61703,26.50445,18.95291,16.12044,7.780550486,10.83326197,13.7611216,16.35519959,31371,31310,29543,29606,91563,96924,91316,92573,,,,,122934,128234,120859,122179,Reported,Reported,Reported,Reported,,,,10700,,,,67,,,1,1,1,1,1,1,1,,,1,1,1,0.083191463,1676410,1676360,139463,374.2214833,1080340,,,,3.35,1,0,,,,,,,,38,,,,,,,,,,,,,0,1,0
543,WABC.OQ,Westamerica Bancorp,Financials,Banking & Investment Services,Banking Services,,,,,,,,,9.598246168,17.68173696,12.13824663,4.228504396,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,594,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,,,12.5,,12.5,,87.5,87.5,,0,0,0
544,WDC.OQ,Western Digital Corp,Technology,Technology Equipment,"Computers, Phones & Household Electronics",15.31905,33.64019,27.02399,22.99833,-10.43189,12.72282,7.20955,2.00167,60.30879468,57.45847312,81.38233374,100.2512826,49311,46044.7,44643.4,49090.3,1018858,929882.7,958051.6,1110285,5443,762.53,10592233,37069,1068169,975927.4,1002695,1159375.3,Reported,Reported,Reported,Reported,,,,53000,,,,57,,,1,1,1,1,1,1,1,377.2539076,874.6471089,1,1,1,0.21654017,7778880,7778880,1684440,959.6659288,18035001.8,18035001.8,3622920.6,,0.437,1,0,,,,,,,,60.2,51.5,1.2,4.7,39.8,2.8,22.22,11.11,11.11,,77.78,77.78,,0,1,0
